Th?i gia,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z,Gia t?c tr?c X,Gia t?c tr?c Y,Gia t?c tr?c Z
72200,0.02,0.02,0.96,0.05,0.02,1.01
72400,0.02,0.02,0.95,0.05,0.02,1
72600,0.02,0.02,0.96,0.05,0.02,1.01
72800,0.01,0.02,0.96,0.05,0.02,1
73000,0.02,0.01,0.96,0.05,0.02,1
73200,0.02,0.02,0.95,0.05,0.02,1.01
73400,0.02,0.02,0.96,0.05,0.02,1
73600,0.02,0.01,0.95,0.05,0.02,1
73800,0.02,0.02,0.95,0.05,0.03,1
74000,0.01,0.02,0.95,0.05,0.03,1
74200,0.02,0.02,0.96,0.06,0.02,1
74400,0.03,0.02,0.95,0.05,0.03,1
74600,0.02,0.02,0.96,0.05,0.02,1.01
74800,0.01,0.02,0.96,0.05,0.02,1
75000,0.01,0.01,0.95,0.05,0.02,1
75200,0.01,0.02,0.95,0.05,0.02,1.01
75400,0.02,0.02,0.95,0.05,0.02,0.99
75600,0.01,0.02,0.95,0.05,0.02,1
75800,0.03,0.02,0.95,0.05,0.03,1.01
76000,0.02,0.03,0.95,0.05,0.03,1
76200,0.02,0.03,0.95,0.05,0.02,1.01
76400,0.02,0.01,0.95,0.05,0.03,1.01
76600,0.02,0.02,0.95,0.06,0.04,1.01
76800,0.02,0.02,0.95,0.06,0.04,1.01
77000,0.02,0.03,0.96,0.04,0.03,1
77200,0.02,0.02,0.95,0.04,0.03,1.02
77400,0.02,0.02,0.94,0.04,0.02,1.01
77600,0.02,0.02,0.95,0.05,0.03,1
77800,0.01,0.02,0.96,0.05,0.02,1
78000,0.02,0.02,0.96,0.06,0.03,1.01
78200,0.02,0.02,0.95,0.05,0.02,1.01
78400,0.01,0.02,0.95,0.05,0.03,1
78600,0.02,0.02,0.95,0.05,0.02,1
78800,0.02,0.01,0.96,0.05,0.02,1.01
79000,0.02,0.02,0.95,0.05,0.02,1.02
79200,0.02,0.02,0.95,0.05,0.03,1.01
79400,0.03,0.02,0.94,0.05,0.03,0.99
79600,0.03,0.01,0.95,0.05,0.02,1
79800,0.02,0.01,0.96,0.05,0.03,1
80000,0.01,0.03,0.96,0.04,0.03,1
80200,0.03,0.02,0.95,0.05,0.02,1.01
80400,0.03,0.02,0.96,0.05,0.03,1
80600,0.01,0.02,0.95,0.08,0.05,1.02
80800,0.01,0.02,0.95,0.09,0.02,0.99
81000,0.03,0.02,0.96,0.06,0.03,1
81200,0.01,0.02,0.94,0.04,0.04,1.01
81400,0.02,0.01,0.95,0.04,0.02,1
81600,0.02,0.02,0.96,0.05,0.01,1
81800,0.02,0.01,0.96,0.04,0.03,1
82000,0.01,0.01,0.95,0.03,0.03,1
82200,0.01,0.02,0.95,0.05,0.02,1
82400,0.02,0.02,0.96,0.04,0.03,1.01
82600,0.01,0.02,0.95,0.05,0.03,1
82800,0.02,0.02,0.96,0.05,0.03,1.01
83000,0.02,0.02,0.96,0.05,0.02,1.01
83200,0.02,0.02,0.96,0.05,0.03,1.01
83400,0.02,0.02,0.96,0.04,0.02,1
83600,0.02,0.02,0.95,0.05,0.03,1
83800,0.02,0.02,0.96,0.05,0.04,1
84000,0.01,0.01,0.96,0.05,0.03,1
84200,0.02,0.01,0.95,0.03,0.04,1.01
84400,0.02,0.02,0.96,0.04,0.02,1
84600,0.02,0.02,0.96,0.04,0.02,1
84800,0.02,0.03,0.94,0.04,0.02,1.01
85000,0.02,0.02,0.95,0.03,0.03,1.01
85200,0.01,0.02,0.95,0.05,0.04,1.01
85400,0.02,0.02,0.95,0.05,0.02,1.01
85600,0.02,0.02,0.95,0.03,0.01,0.99
85800,0.02,0.02,0.96,0.05,0.02,1.01
86000,0.02,0.02,0.95,0.06,0.04,1.01
86200,0.01,0.02,0.95,0.04,0.02,1.01
86400,0.02,0.02,0.95,0.04,0.02,1.01
